Ticker,volatility
ADANIENT,0.028600523792508773
ADANIPORTS,0.026028643454512626
APOLLOHOSP,0.014134574705070744
ASIANPAINT,0.012664679670924845
AXISBANK,0.015624964929158405
BAJAJ-AUTO,0.017609369939821498
BAJAJFINSV,0.014117849543856961
BAJFINANCE,0.015918494897734437
BEL,0.02328339205987511
BHARTIARTL,0.01362450772882925
BPCL,0.022068851102664967
BRITANNIA,0.013039218369984132
CIPLA,0.016332415765760337
COALINDIA,0.021411449147905517
DRREDDY,0.012490100212885798
EICHERMOT,0.016098898407438056
GRASIM,0.014465113811981541
HCLTECH,0.014294650681131699
HDFCBANK,0.013489800405382245
HDFCLIFE,0.014630077258587218
HEROMOTOCO,0.016563238026907057
HINDALCO,0.019586836411430903
HINDUNILVR,0.012073895796063685
ICICIBANK,0.012788897388104684
INDUSINDBK,0.019111193335251277
INFY,0.014491913053868169
ITC,0.011943702458319574
JSWSTEEL,0.01638393235672218
KOTAKBANK,0.014215663882255602
LT,0.016963904150046463
M&M,0.019212772948786837
MARUTI,0.013712493772447945
NESTLEIND,0.012516833638236828
NTPC,0.01947501170129666
ONGC,0.022247312175683334
POWERGRID,0.018671442296664287
RELIANCE,0.013562067130073314
SBILIFE,0.015113428426196403
SBIN,0.017939344821740165
SHRIRAMFIN,0.021686664608623993
SUNPHARMA,0.011732822937748199
TATACONSUM,0.014804773668135268
TATAMOTORS,0.01787650515641712
TATASTEEL,0.018231639152358863
TCS,0.01316177158710604
TECHM,0.016019868874918915
TITAN,0.014135893038630132
TRENT,0.02307379893265212
ULTRACEMCO,0.014314596706888179
WIPRO,0.017467886281905237
